Year,H_AB,R_G,HR_G,BB_G,SO_G
1871,0.28,10.35,0.19,1.56,0.7
1872,0.27,8.66,0.08,0.62,0.67
1873,0.27,8.13,0.1,0.72,0.73
1874,0.27,7.32,0.08,0.51,0.79
1875,0.24,5.39,0.04,0.36,1.19
1876,0.26,5.88,0.08,0.64,1.12
1877,0.27,5.66,0.07,0.96,2.02
1878,0.26,5.17,0.06,0.99,2.93
1879,0.25,5.26,0.09,0.78,2.88
1880,0.24,4.69,0.09,1.09,2.94
1881,0.26,5.1,0.11,1.54,2.65
1882,0.25,5.32,0.15,1.39,2.92
1883,0.26,5.75,0.15,1.48,3.37
1884,0.24,5.16,0.2,1.55,5.01
1885,0.24,5.21,0.18,1.98,3.78
1886,0.25,5.47,0.2,2.63,4.28
1887,0.27,6.34,0.29,2.86,2.81
1888,0.24,4.87,0.24,2.17,3.78
1889,0.26,5.96,0.31,3.37,3.52
1890,0.26,5.98,0.23,3.63,3.39
1891,0.25,5.72,0.27,3.61,3.45
1892,0.24,5.11,0.23,3.36,3.25
1893,0.28,6.57,0.29,3.91,2.13
1894,0.31,7.39,0.39,3.68,2.09
1895,0.3,6.6,0.31,3.21,2.27
1896,0.29,6.04,0.25,3.06,2.22
1897,0.29,5.9,0.23,2.93,2.31
1898,0.27,4.96,0.16,2.77,2.3
1899,0.28,5.25,0.19,2.7,2.09
1900,0.28,5.22,0.22,2.67,2.37
1901,0.27,4.99,0.2,2.46,3.14
1902,0.27,4.43,0.16,2.44,2.97
1903,0.26,4.44,0.15,2.41,1.89
1904,0.25,3.73,0.13,2.23,2.01
1905,0.25,3.9,0.14,2.5,3.85
1906,0.25,3.61,0.11,2.51,3.71
1907,0.25,3.53,0.1,2.47,3.58
1908,0.24,3.38,0.11,2.35,3.65
1909,0.24,3.55,0.1,2.62,3.78
1910,0.25,3.84,0.14,2.97,1.78
1911,0.27,4.51,0.21,3.17,1.93
1912,0.27,4.53,0.18,3.12,1.89
1913,0.26,4.04,0.19,2.95,3.76
1914,0.25,3.87,0.19,2.96,3.97
1915,0.25,3.81,0.17,2.98,3.81
1916,0.25,3.56,0.15,2.83,3.82
1917,0.25,3.59,0.13,2.77,3.48
1918,0.25,3.63,0.12,2.83,2.91
1919,0.26,3.87,0.2,2.68,3.06
1920,0.28,4.36,0.26,2.77,2.95
1921,0.29,4.86,0.38,2.79,2.83
1922,0.29,4.87,0.43,2.93,2.81
1923,0.28,4.82,0.4,3.08,2.85
1924,0.29,4.76,0.36,2.98,2.7
1925,0.29,5.13,0.48,3.15,2.72
1926,0.28,4.63,0.35,3.12,2.76
1927,0.28,4.75,0.37,3.01,2.76
1928,0.28,4.73,0.44,3.12,2.9
1929,0.29,5.19,0.55,3.26,2.86
1930,0.3,5.55,0.63,3.11,3.22
1931,0.28,4.81,0.43,3.1,3.2
1932,0.28,4.91,0.55,3.06,3.2
1933,0.27,4.49,0.44,3,3.03
1934,0.28,4.9,0.55,3.21,3.45
1935,0.28,4.9,0.54,3.19,3.26
1936,0.28,5.19,0.55,3.4,3.32
1937,0.28,4.87,0.58,3.4,3.63
1938,0.27,4.89,0.6,3.53,3.41
1939,0.28,4.82,0.59,3.44,3.45
1940,0.27,4.68,0.64,3.35,3.66
1941,0.26,4.49,0.53,3.57,3.55
1942,0.25,4.08,0.44,3.43,3.4
1943,0.25,3.92,0.37,3.38,3.46
1944,0.26,4.17,0.42,3.19,3.29
1945,0.26,4.18,0.41,3.37,3.27
1946,0.26,4.01,0.49,3.54,3.91
1947,0.26,4.35,0.63,3.71,3.69
1948,0.26,4.58,0.63,3.89,3.65
1949,0.26,4.61,0.69,4.05,3.61
1950,0.27,4.85,0.84,4.02,3.86
1951,0.26,4.55,0.75,3.73,3.77
1952,0.25,4.18,0.69,3.54,4.2
1953,0.26,4.61,0.84,3.51,4.12
1954,0.26,4.38,0.78,3.65,4.13
1955,0.26,4.49,0.9,3.67,4.39
1956,0.26,4.45,0.93,3.63,4.64
1957,0.26,4.31,0.89,3.31,4.84
1958,0.26,4.28,0.91,3.29,4.95
1959,0.26,4.38,0.91,3.31,5.09
1960,0.26,4.31,0.86,3.39,5.18
1961,0.26,4.52,0.95,3.46,5.23
1962,0.26,4.46,0.93,3.37,5.42
1963,0.25,3.95,0.84,2.96,5.8
1964,0.25,4.04,0.85,2.96,5.91
1965,0.25,3.99,0.83,3.09,5.94
1966,0.25,3.99,0.85,2.89,5.82
1967,0.24,3.77,0.71,2.98,5.99
1968,0.24,3.42,0.61,2.82,5.89
1969,0.25,4.07,0.8,3.45,5.77
1970,0.25,4.34,0.88,3.53,5.75
1971,0.25,3.89,0.74,3.24,5.41
1972,0.24,3.69,0.68,3.15,5.57
1973,0.26,4.21,0.8,3.37,5.24
1974,0.26,4.12,0.68,3.33,5.01
1975,0.26,4.21,0.7,3.46,4.98
1976,0.26,4,0.58,3.19,4.83
1977,0.26,4.47,0.87,3.27,5.16
1978,0.26,4.1,0.7,3.23,4.77
1979,0.27,4.46,0.82,3.24,4.77
1980,0.26,4.29,0.73,3.13,4.8
1981,0.26,4,0.64,3.18,4.74
1982,0.26,4.3,0.8,3.16,5.04
1983,0.26,4.31,0.78,3.21,5.15
1984,0.26,4.26,0.77,3.16,5.34
1985,0.26,4.33,0.86,3.29,5.34
1986,0.26,4.41,0.91,3.38,5.87
1987,0.26,4.72,1.06,3.42,5.96
1988,0.25,4.14,0.76,3.09,5.56
1989,0.25,4.13,0.73,3.21,5.62
1990,0.26,4.26,0.79,3.29,5.67
1991,0.26,4.31,0.8,3.32,5.8
1992,0.26,4.12,0.72,3.25,5.59
1993,0.27,4.6,0.89,3.33,5.8
1994,0.27,4.92,1.03,3.48,6.17
1995,0.27,4.85,1.01,3.53,6.3
1996,0.27,5.04,1.09,3.55,6.46
1997,0.27,4.77,1.02,3.46,6.61
1998,0.27,4.79,1.04,3.38,6.56
1999,0.27,5.08,1.14,3.68,6.41
2000,0.27,5.14,1.17,3.75,6.45
2001,0.26,4.78,1.12,3.25,6.67
2002,0.26,4.62,1.04,3.35,6.47
2003,0.26,4.73,1.07,3.27,6.34
2004,0.27,4.81,1.12,3.34,6.55
2005,0.26,4.59,1.03,3.13,6.3
2006,0.27,4.86,1.11,3.26,6.52
2007,0.27,4.8,1.02,3.31,6.62
2008,0.26,4.65,1,3.36,6.77
2009,0.26,4.61,1.04,3.42,6.91
2010,0.26,4.38,0.95,3.25,7.06
2011,0.25,4.28,0.94,3.09,7.1
2012,0.25,4.32,1.02,3.03,7.5
2013,0.25,4.17,0.96,3.01,7.55
2014,0.25,4.07,0.86,2.88,7.7
2015,0.25,4.25,1.01,2.9,7.71
2016,0.26,4.48,1.16,3.11,8.03
2017,0.25,4.65,1.26,3.26,8.25
