Year,H,AB,R,HR,BB,SO,G,HBP,SF,H_AB,R_G,HR_G,BB_G,SO_G,OBP
1871,3101,10822,2659,47,393,175,254,0,0,0.286545925,10.46850394,0.18503937,1.547244094,0.688976378,0.222724987
1872,4467,15665,3390,37,263,265,366,0,0,0.285157996,9.262295082,0.101092896,0.718579235,0.724043716,0.221885555
1873,4926,16959,3580,47,335,278,398,0,0,0.29046524,8.994974874,0.118090452,0.841708543,0.698492462,0.225085675
1874,5224,19104,3470,40,238,357,464,0,0,0.273450586,7.478448276,0.086206897,0.512931034,0.769396552,0.214731996
1875,6812,26833,4234,40,249,675,690,0,0,0.253866508,6.136231884,0.057971014,0.360869565,0.97826087,0.202466934
1876,5338,20121,3066,40,336,589,520,0,0,0.265294965,5.896153846,0.076923077,0.646153846,1.132692308,0.209670451
1877,3705,13667,2040,24,345,726,360,0,0,0.271090949,5.666666667,0.066666667,0.958333333,2.016666667,0.213274234
1878,3539,13644,1904,23,364,1081,368,0,0,0.259381413,5.173913043,0.0625,0.989130435,2.9375,0.205959378
1879,6171,24155,3409,58,508,1843,642,0,0,0.255475057,5.309968847,0.090342679,0.791277259,2.870716511,0.203488756
1880,5946,24301,3191,62,740,1993,680,0,0,0.244681289,4.692647059,0.091176471,1.088235294,2.930882353,0.196581479
1881,6339,24377,3425,76,1033,1784,672,0,0,0.260040202,5.09672619,0.113095238,1.537202381,2.654761905,0.206374528
1882,10333,41622,6092,178,1592,3345,1142,0,0,0.248258133,5.334500876,0.1558669,1.394045534,2.929071804,0.198883649
1883,14828,57667,9030,238,2329,5294,1570,0,0,0.257131462,5.751592357,0.151592357,1.48343949,3.371974522,0.204538244
1884,26593,109312,16742,689,4947,14837,3074,468,0,0.243276127,5.446324008,0.224137931,1.609303839,4.82661028,0.198433708
1885,15305,62725,9292,323,3530,6715,1780,333,0,0.244001594,5.220224719,0.181460674,1.983146067,3.77247191,0.199558465
1886,17974,72927,11512,413,5554,8978,2098,309,0,0.246465644,5.487130601,0.196854147,2.647283127,4.279313632,0.200449512
1887,20234,74735,13417,606,6053,5924,2112,746,0,0.270743293,6.352746212,0.286931818,2.866003788,2.804924242,0.219192394
1888,18000,75439,10628,521,4727,8232,2180,824,0,0.238603375,4.875229358,0.238990826,2.168348624,3.776146789,0.199696594
1889,20170,76478,12986,667,7316,7669,2176,759,0,0.263735976,5.967830882,0.306525735,3.362132353,3.524356618,0.214861355
1890,29472,113243,19383,764,11723,10820,3218,1344,0,0.260254497,6.023306401,0.237414543,3.642945929,3.362336855,0.213912355
1891,19709,77660,12635,585,8035,7656,2216,985,0,0.253785733,5.701714801,0.26398917,3.625902527,3.454873646,0.210403237
1892,15643,63876,9388,417,6178,5973,1836,561,0,0.244896362,5.11328976,0.227124183,3.364923747,3.253267974,0.202347652
1893,15913,56898,10315,460,6143,3342,1570,639,0,0.279675911,6.570063694,0.292993631,3.912738854,2.12866242,0.225350579
1894,17809,57577,11796,629,5870,3333,1596,602,0,0.309307536,7.390977444,0.394110276,3.677944862,2.088345865,0.242288256
1895,16827,56788,10514,488,5120,3623,1594,668,0,0.296312601,6.595984944,0.306148055,3.212045169,2.272898369,0.235518221
1896,16141,55577,9560,404,4854,3523,1584,636,0,0.290425896,6.035353535,0.255050505,3.064393939,2.224116162,0.231873842
1897,16522,56663,9536,368,4726,3729,1614,750,0,0.291583573,5.908302354,0.228004957,2.928128872,2.310408922,0.233610604
1898,16955,62661,9129,299,5092,4223,1840,865,0,0.270582978,4.961413043,0.1625,2.767391304,2.295108696,0.22141872
1899,17741,62846,9672,352,4979,3849,1842,868,0,0.282293225,5.250814332,0.191096634,2.703040174,2.089576547,0.22845743
1900,10925,39132,5932,254,3034,2697,1138,0,0,0.279183277,5.212653779,0.223198594,2.666080844,2.369947276,0.218251194
