Year,H,AB,R,HR,BB,SO,G,HBP,SF,H_AB,R_G,HR_G,BB_G,SO_G,OBP
1875,4906,17876.6,3466.6,42.2,295.6,350,434.4,0,0,0.274436973,7.980202578,0.097145488,0.680478821,0.805709024,0.286239421
1876,5353.4,19736.4,3548,40.8,284.2,432.8,487.6,0,0,0.271245009,7.276456112,0.083675144,0.582854799,0.887612797,0.281589962
1877,5201,19336.8,3278,38.2,300.6,525,486.4,0,0,0.268969012,6.739309211,0.078536184,0.618009868,1.079358553,0.280159288
1878,4923.6,18673.8,2942.8,33.4,306.4,685.6,480.4,0,0,0.263663529,6.12572856,0.069525396,0.637801832,1.427144047,0.27555031
1879,5113,19684,2930.6,37,360.4,982.8,516,0,0,0.259754115,5.679457364,0.071705426,0.698449612,1.904651163,0.273063798
1880,4939.8,19177.6,2722,41.4,458.6,1246.4,514,0,0,0.257581762,5.295719844,0.080544747,0.892217899,2.424902724,0.27492081
1881,5140,20028.8,2793.8,48.6,598,1485.4,544.4,0,0,0.256630452,5.131888317,0.089272594,1.098457017,2.72850845,0.278181783
1882,6465.6,25619.8,3604.2,79.4,847.4,2009.2,700.8,0,0,0.25236731,5.142979452,0.113299087,1.209189498,2.867009132,0.276304256
1883,8723.4,34424.4,5029.4,122.4,1240.4,2851.8,941.2,0,0,0.253407467,5.34360391,0.130046749,1.317892053,3.029961751,0.2793735
1884,12807.8,51455.8,7696,248.6,2128.2,5450.6,1427.6,93.6,0,0.248908772,5.390865789,0.174138414,1.490753713,3.818016251,0.279997615
1885,14679.6,59140.6,8916.2,300.8,2686.2,6395,1647.6,160.2,0,0.24821527,5.411629036,0.182568585,1.630371449,3.881403253,0.282736703
1886,17006.6,68850.6,10533.6,368.2,3590.4,7833.8,1932.8,222,0,0.247007288,5.449917219,0.190500828,1.857615894,4.053083609,0.286514457
1887,18986.8,75473.2,11998.6,453.8,4482.6,8349.6,2126.8,371.2,0,0.251570094,5.641621215,0.213372202,2.1076735,3.925898063,0.296794353
1888,19621.2,79027.6,12318.2,510.4,4962.2,8937.2,2248.8,536,0,0.248282878,5.477676983,0.226965493,2.206599075,3.974208467,0.297180269
1889,18336.6,72460.8,11567,506,5436,7503.6,2069.2,594.2,0,0.253055445,5.590083124,0.244538952,2.627102262,3.626329016,0.310440687
1890,21170,82564.4,13585.2,594.2,7074.6,8324.6,2356.8,796.4,0,0.256405909,5.764256619,0.252121521,3.001782077,3.532162254,0.32112425
1891,21517,83511,13809.8,628.6,7570.8,8060.2,2380.4,931.6,0,0.25765468,5.801461939,0.264073265,3.18047387,3.386069568,0.326250307
